Dataset,Variable,Where Clause,Description,Type,Codelist,Origin,Derivation / Comments / Predecessor,Column1,XL Comments,
ADEFFINT,SRCSEQ,PARAMCD = PSAP,SRCSEQ for PSAP,integer,,Assigned,"Set to ADLB.ASEQ from the record selected for use in AVAL. If AVALC=""N"" then set to Null.",,,
ADEFFINT,AVISIT,PARAMCD = PSAP,AVISIT for PSAP,text,,Assigned,"Set to ADLB.AVISIT from the record selected for use in AVAL If AVALC=""N"" then set to Null.",,,
ADEFFINT,ADT,PARAMCD = PSAP,ADT for PSAP,integer,,Assigned,"Set to ADLB.ADT from the record selected for use in AVAL If AVALC=""N"" then set to Null.",,,
ADEFFINT,ADT,PARAMCD EQ NBLPBPSA,Analysis Date for No Baseline and No Post-Baseline PSA,integer,,Derived,"
Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who are in COHORT 3 but do not have any records in ADLB for PARAMCD=PSA with ABLFL=""Y"" or PSBFL=""Y"". 
AVALC is set to ""No baseline and no post-baseline assessments"" and ADT=RANDDT",,,
ADEFFINT,ADT,PARAMCD EQ NBLPSA,Analysis Date  for No Baseline PSA,integer,,Derived,"
Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no baseline PSA Data
If a subject has a record in ADLB with PARAMCD=PSA but no record with ABLFL=""Y"" then create a record in ADEFFINT with AVALC=""No baseline assessments"" and ADT=RANDDT
",,,
ADEFFINT,ADT,PARAMCD EQ NPBLPSA,Analysis Date  for No Post-Baseline PSA,integer,,Derived,"
Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no post-baseline PSA Data
If a subject has a record in ADLB with PARAMCD=PSA but no record with PSBLFL=""Y"" then create a record in ADEFFINT with AVALC=""No post-baseline assessments"" and ADT=RANDDT
",,,
ADEFFINT,SRCVAR,PARAMCD IN ('NBLPBPSA' 'NBLPSA' 'NPBLPSA'),SRCVAR for Missing Baseline/Post-Baseline PSA,text,,Assigned,Set to RANDDT,,,
ADEFFINT,SRCDOM,PARAMCD IN ('NBLPBPSA' 'NBLPSA' 'NPBLPSA'),SRCDOM for Missing Baseline/Post-Baseline PSA,text,,Assigned,Set to ADSL,,,
ADEFFINT,SRCSEQ,PARAMCD IN ('NBLPBPSA' 'NBLPSA' 'NPBLPSA'),SRCSEQ for Missing Baseline/Post-Baseline PSA,text,,Assigned,Set to Null,,,
ADEFFINT,ADT,PARAMCD EQ TCONPSA,Analysis Date for Two Consecutive Missing PSA,integer,,Derived,"Only create this PARAMCD where COHORT contains 'EXP 3':
A record is created if there exisists a record in ADEFFINT with PARAMCD=PSAP and AVALC=""Y"" with the following criteria: If there are two consecutive records with AVAL=. directly before the record chosen for PSA Progression then create a record with PARAM=""Two Consecutive Missing Records before PSA Progression"" and set ADT to the assessment before the missing records. ",,,
ADEFFINT,SRCVAR,PARAMCD EQ TCONPSA,SRCDOM for TCONPSA,text,,Assigned,Set to ADT,,,
ADEFFINT,SRCDOM,PARAMCD EQ TCONPSA,SRCVAR for TCONPSA,text,,Assigned,Set to ADLB,,,
ADEFFINT,SRCSEQ,PARAMCD EQ TCONPSA,SRCSEQ for TCONPSA,text,,Assigned,Set to ASEQ of the record chosen for ADT,,,
ADEFFINT,ADT,PARAMCD EQ SYSACTDT,Date of First Systemic Non-Radiation Therapy,integer,,Assigned,Set to ADSL.SYSACTDT; ADTF is populated with the value of ADSL.SYSACDTF.,,,
ADEFFINT,SRCVAR,PARAMCD EQ SYSACTDT,SRCVAR for SYSACTDT,text,,Assigned,"Set to ""SYSACTDT""",,,
ADEFFINT,ADT,PARAMCD EQ DTHDT,Date of Death,integer,,Assigned,Set to ADSL.DTHDT; ADTF is populated with the value of ADSL.DTHDTF.,,,
ADEFFINT,SRCVAR,PARAMCD EQ DTHDT,SRCVAR for DTHDT,text,,Assigned,"Set to ""DTHDT""",,,
ADEFFINT,ADT,PARAMCD EQ LSTALVDT,Date Last Known Alive,integer,,Assigned,"Set to max(ADSL.DTHDT, ADSL.LSTALVDT); ADTF is populated with the value of ADSL.LSALVDTF or DTHDTF, depending on the source of ADT.",,,
ADEFFINT,SRCVAR,PARAMCD EQ LSTALVDT,SRCVAR for LSTALVDT,text,,Assigned,"Set to ""LSTALVDT"" or ""DTHDT"", depending on the source of ADT.",,,
ADEFFINT,ADT,PARAMCD EQ WDCFDT,Date of Withdrawal of Full Consent,integer,,Assigned,"A record is created if ADSL.WDCFDT is non-missing.
Set to ADSL.LSTALVDT; Alert ST if date differs from ADSL.WDCFDT.",,,
ADEFFINT,SRCVAR,PARAMCD EQ WDCFDT,SRCVAR for WDCFDT,text,,Assigned,"Set to ""WDCFDT""",,,
ADEFFINT,ADT,PARAMCD EQ LSTFUP,Analysis Date of Lost to Follow-Up,integer,,Derived,"A record is created if ADSL.DCSREAS = 'Lost to follow-up'.
Set to  ADSL.LSTALVDT; ADTF is populated with the value of ADSL.LSALVDTF

Include a check for if date(DS.DSSTDTC where DSTERM=""LOST TO FOLLOW-UP"") differs from ADSL.LSTALVDT and alert ST if this occurs.",,,
ADEFFINT,SRCVAR,PARAMCD EQ LSTFUP,SRCVAR for LSTFUP,text,,Assigned,"Set to ""LSTALVDT""",,,
ADEFFINT,ADT,PARAMCD EQ SPNSRDEC,Date of Withdrawal Per Sponsor Decision,integer,,Derived,"A record is created if ADSL.DCSREAS = 'Sponsor decision'.
Set to  ADSL.LSTALVDT; ADTF is populated with the value of ADSL.LSALVDTF

Include a check for if date(DS.DSSTDTC where DSTERM=""SPONSOR REQUEST"") differs from ADSL.LSTALVDT and alert ST if this occurs.",,,
ADEFFINT,SRCVAR,PARAMCD EQ SPNSRDEC,SRCVAR for SPNSRDEC,text,,Assigned,"Set to ""LSTALVDT""",,,
ADEFFINT,SRCDOM,"PARAMCD IN (SYSACTDT, DTHDT, LSTALVDT, WDCFDT, LSTFUP, SPNSRDEC, CUTDT)",SRCDOM for ADSL based parameters,text,,Assigned,"Set to ""ADSL""",,,
ADEFFINT,SRCSEQ,"PARAMCD IN (SYSACTDT, DTHDT, LSTALVDT, WDCFDT, LSTFUP, SPNSRDEC, CUTDT)",SRCSEQ for ADSL based parameters,integer,,Assigned,Null.,,,
ADEFFINT,ADT,PARAMCD EQ CUTDT,Analysis Date for Data Cut-Off Date,integer,,Assigned,Set to ADSL.CUTDT,,,
ADEFFINT,SRCVAR,PARAMCD EQ CUTDT,SRCVAR for CUTDT,text,,Assigned,"Set to ""CUTDT""",,,
ADEFFINT,ADT,PARAMCD EQ NBLPBIVR,"Analysis Date for No Baseline and no Post-Baseline ATA , per Inv using RECIST 1.1",integer,,Derived,"A record is created for subjects who have no baseline or post-baseline adequate tumor assessments per Investigator, using RECIST 1.1.
If a subject has a record in ADEFFSUM where PARAMCD = 'BNEIVR2' and AVALC =  'No baseline assessments'  and a record where PARAMCD = 'BNEIVR3' and AVALC = ' No post-baseline assessments' then a record is created.

ADT is set to min(RANDDT + 127, LSTALVDT).","ADT is set to RANDDT + 127 in alignment with derivations on other XL studies. On other studies, PFS allows death as an event, if it occurred within 2 tumor scans of Randomization, even if the subject has missing baseline. Similarly, derivations on other studies give priority to other censoring reasons (subsequent ACT, radiation, etc.) if those occurred within the 2-scan censoring period relative to randomization.
Because derivations in ADTTE rely on ordering by ADT, ADT for this (and the other missing scan parameters) is set to RANDDT+127 to ensure that it is sorted after any other event or censoring reason that would otherwise be prioritized first. 126 days is the threshold for missing 2x tumor assessments.",,
ADEFFINT,ADT,PARAMCD EQ NBLIVR,"Analysis Date for No Baseline ATA , per Inv using RECIST 1.1 ",integer,,Derived,"A record is created for subjects who have no baseline adequate tumor assessment per Investigator, using RECIST 1.1.
If a subject has a record in ADEFFSUM where PARAMCD = 'BNEIVR2' and AVALC =  'No baseline assessments' and the subject doesn't have a record  where  PARAMCD = 'BNEIVR3' and AVALC = 'No post-baseline assessments' then a record is created.

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,ADT,PARAMCD EQ NPBIVR,"Analysis Date for No Post-Baseline ATA , per Inv using RECIST 1.1 ",integer,,Derived,"A record is created for subjects who have no post-baseline adequate tumor assessment per Investigator, using RECIST 1.1.
If a subject has a record in ADEFFSUM where PARAMCD = 'BNEIVR3' and AVALC =  'No post-baseline assessments' and the subject doesn't have a record  where PARAMCD = 'BNEIVR2' and AVALC = No baseline assessments' then a record is created.

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,SRCVAR,"PARAMCD IN (NBLPBIVR, NBLIVR, NPBIVR)",SRCVAR for Missing Baseline/Post-Baseline Scans,text,,Assigned,"If ADT is equivalent to RANDDT+127, set to ""RANDDT"".
If ADT is equivalent to LSTALVDT, set to ""LSTALVDT"".",,,
ADEFFINT,SRCDOM,"PARAMCD IN (NBLPBIVR, NBLIVR, NPBIVR)",SRCDOM for Missing Baseline/Post-Baseline Scans,text,,Assigned,"Set to ""ADEFFSUM""",,,
ADEFFINT,SRCSEQ,PARAMCD EQ NBLIVR,SRCSEQ for Missing Baseline Scans,integer,,Assigned,Set to ADEFFSUM.ASEQ from the BNEIVR2 record which meets the criteria specified in the derivation of ADEFFINT.ADT.,,,
ADEFFINT,SRCSEQ,PARAMCD EQ NPBIVR,SRCSEQ for Missing Post-Baseline Scans,integer,,Assigned,Set to ADEFFSUM.ASEQ from the BNEIVR3 record which meets the criteria specified in the derivation of ADEFFINT.ADT.,,,
ADEFFINT,SRCSEQ,PARAMCD EQ NBLPBIVR,SRCSEQ for Missing Baseline/Post-Baseline Scans,integer,,Assigned,Null,,,
ADEFFINT,ADT,PARAMCD EQ NBLPBPC,Analysis Date for No Baseline and no Post-Baseline ATA PCWG3,integer,,Derived,"
Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no baseline or post-baseline adequate tumor assessments PCWG3

No Baseline Condition:

If a record does not exist for a subject in RS where RS.RSDTC<=ADSL..RANDDT and RSEVAL='INDEPENDENT ASSESSOR' and RSCAT=""PCWG3""  and RSTESTCD='METSIND' and (RS.RSACPTFL='Y' or If a subject is missing RS.RSACPTFL for both RSEVALID='READER 1' and 'READER 2' records within the same visit then check for RSEVALID='READER 1' record) 
If the subject has no tumor records in ADTR(where ACEPTFL='Y' and TRCAT= PCWG3 and TREVAL = 'INDEPENDENT ASSESSOR' ) prior to randomization (where ADT <= RANDDT) 

AND

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRPC' and ACEPTFL='Y') 

ADT is set to min(RANDDT + 127, LSTALVDT).","ADT is set to RANDDT + 127 in alignment with derivations on other XL studies. On other studies, PFS allows death as an event, if it occurred within 2 tumor scans of Randomization, even if the subject has missing baseline. Similarly, derivations on other studies give priority to other censoring reasons (subsequent ACT, radiation, etc.) if those occurred within the 2-scan censoring period relative to randomization.
Because derivations in ADTTE rely on ordering by ADT, ADT for this (and the other missing scan parameters) is set to RANDDT+127 to ensure that it is sorted after any other event or censoring reason that would otherwise be prioritized first. 126 days is the threshold for missing 2x tumor assessments.",,
ADEFFINT,ADT,PARAMCD EQ NBLPC,Analysis Date for No Baseline ATA PCWG3,integer,,Derived,"
Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no baseline adequate tumor assessment PCWG3

No Baseline Condition:

If a record does not exist for a subject in RS where RS.RSDTC<=ADSL..RANDDT and RSEVAL='INDEPENDENT ASSESSOR' and RSCAT=""PCWG3""  and RSTESTCD='METSIND' and (RS.RSACPTFL='Y' or If a subject is missing RS.RSACPTFL for both RSEVALID='READER 1' and 'READER 2' records within the same visit then check for RSEVALID='READER 1' record) 

AND DOES NOT MEET THE BELOW CRITERIA FOR NO POST-BASELINE

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRPC' and ACEPTFL='Y') 

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,ADT,PARAMCD EQ NPBPC,Analysis Date for No Post-Baseline ATA PCWG3,integer,,Derived,"Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no post-baseline adequate tumor assessment PCWG3

DOES NOT MEET THE BELOW CRITERIA FOR NO BASELINE
No Baseline Condition:

If a record does not exist for a subject in RS where RS.RSDTC<=ADSL..RANDDT and RSEVAL='INDEPENDENT ASSESSOR' and RSCAT=""PCWG3""  and RSTESTCD='METSIND' and (RS.RSACPTFL='Y' or If a subject is missing RS.RSACPTFL for both RSEVALID='READER 1' and 'READER 2' records within the same visit then check for RSEVALID='READER 1' record) 

AND DOES MEET THE BELOW CRITERIA FOR NO POST-BASELINE

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRPC' and ACEPTFL='Y') 

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,ADT,PARAMCD EQ NBLPBPV,Analysis Date for No Baseline and no Post-Baseline ATA PCWG3 per INV,integer,,Derived,"
Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no baseline or post-baseline adequate tumor assessments PCWG3 per INV

No Baseline Condition:
Where STAGE=EXPANSION:
If the subject has no tumor records in ADTR(where TRCAT= PCWG3 and TREVAL = 'INVESTIGATOR' ) prior to randomization (where ADT <= RANDDT) 

Where STAGE=ESCALATION:
If the subject has no tumor records in ADTR(where TRCAT= PCWG3 and TREVAL = 'INVESTIGATOR' ) prior to treatment start (where ADT <= TRTSDT)

AND

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRPV' ) 

ADT is set to min(RANDDT + 127, LSTALVDT).","ADT is set to RANDDT + 127 in alignment with derivations on other XL studies. On other studies, PFS allows death as an event, if it occurred within 2 tumor scans of Randomization, even if the subject has missing baseline. Similarly, derivations on other studies give priority to other censoring reasons (subsequent ACT, radiation, etc.) if those occurred within the 2-scan censoring period relative to randomization.
Because derivations in ADTTE rely on ordering by ADT, ADT for this (and the other missing scan parameters) is set to RANDDT+127 to ensure that it is sorted after any other event or censoring reason that would otherwise be prioritized first. 126 days is the threshold for missing 2x tumor assessments.",,
ADEFFINT,ADT,PARAMCD EQ NBLPV,Analysis Date for No Baseline ATA PCWG3 per INV,integer,,Derived,"
Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no baseline adequate tumor assessment PCWG3 per INV

No Baseline Condition:
Where STAGE=EXPANSION:
If the subject has no tumor records in ADTR(where TRCAT= PCWG3 and TREVAL = 'INVESTIGATOR' ) prior to randomization (where ADT <= RANDDT) 

Where STAGE=ESCALATION:
If the subject has no tumor records in ADTR(where TRCAT= PCWG3 and TREVAL = 'INVESTIGATOR' ) prior to treatment start (where ADT <= TRTSDT)

AND DOES NOT MEET THE BELOW CRITERIA FOR NO POST-BASELINE

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRPV') 

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,ADT,PARAMCD EQ NPBPV,Analysis Date for No Post-Baseline ATA PCWG3 per INV,integer,,Derived,"Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no post-baseline adequate tumor assessment PCWG3 per INV

DOES NOT MEET THE BELOW CRITERIA FOR NO BASELINE
No Baseline Condition:
Where STAGE=EXPANSION:
If the subject has no tumor records in ADTR(where TRCAT= PCWG3 and TREVAL ='INVESTIGATOR' ) prior to randomization (where ADT <= RANDDT) 

Where STAGE=ESCALATION:
If the subject has no tumor records in ADTR(where TRCAT= PCWG3 and TREVAL = 'INVESTIGATOR' ) prior to treatment start (where ADT <= TRTSDT)

AND DOES MEET THE BELOW CRITERIA FOR NO POST-BASELINE

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRPV' ) 

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,SRCVAR,"PARAMCD IN (NBLPBPC, NBLPC, NPBPC, NBLPBPV, NBLPV, NPBPV)",SRCVAR for Missing Baseline/Post-Baseline Scans,text,,Assigned,"If ADT is equivalent to RANDDT+127, set to ""RANDDT"".
If ADT is equivalent to LSTALVDT, set to ""LSTALVDT"".",,,
ADEFFINT,SRCDOM,"PARAMCD IN (NBLPBPC, NBLPC, NPBPC, NBLPBPV, NBLPV, NPBPV)",SRCDOM for Missing Baseline/Post-Baseline Scans,text,,Assigned,"Set to ""ADSL""",,,
ADEFFINT,SRCSEQ,"PARAMCD IN (NBLPBPC, NBLPC, NPBPC, NBLPBPV, NBLPV, NPBPV)",SRCSEQ for Missing Baseline/Post-Baseline Scans,integer,,Assigned,Null,,,
ADEFFINT,ADT,PARAMCD EQ NBLPBBI,Analysis Date for No Baseline and no Post-Baseline ATA BIRC,integer,,Derived,"Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no baseline or post-baseline adequate tumor assessments BIRC


No Baseline Condition:
Where STAGE=EXPANSION:
If the subject has no tumor records in ADTR(where ACEPTFL='Y' and TRCAT= RECIST 1.1 and TREVAL = 'INDEPENDENT ASSESSOR' ) prior to randomization (where ADT <= RANDDT) 

Where STAGE=ESCALATION:
If the subject has no tumor records in ADTR(where ACEPTFL='Y' and TRCAT= RECIST 1.1 and TREVAL = 'INDEPENDENT ASSESSOR' ) prior to treatment start (where ADT <= TRTSDT)

AND

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRBI' and ACEPTFL='Y') 


ADT is set to min(RANDDT + 127, LSTALVDT).","ADT is set to RANDDT + 127 in alignment with derivations on other XL studies. On other studies, PFS allows death as an event, if it occurred within 2 tumor scans of Randomization, even if the subject has missing baseline. Similarly, derivations on other studies give priority to other censoring reasons (subsequent ACT, radiation, etc.) if those occurred within the 2-scan censoring period relative to randomization.
Because derivations in ADTTE rely on ordering by ADT, ADT for this (and the other missing scan parameters) is set to RANDDT+127 to ensure that it is sorted after any other event or censoring reason that would otherwise be prioritized first. 126 days is the threshold for missing 2x tumor assessments.",,
ADEFFINT,ADT,PARAMCD EQ NBLBI,Analysis Date for No Baseline ATA BIRC,integer,,Derived,"Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no baseline adequate tumor assessment BIRC
No Baseline Condition:
Where STAGE=EXPANSION:
If the subject has no tumor records in ADTR(where ACEPTFL='Y' and TRCAT= RECIST 1.1 and TREVAL = 'INDEPENDENT ASSESSOR' ) prior to randomization (where ADT <= RANDDT) 

Where STAGE=ESCALATION:
If the subject has no tumor records in ADTR(where ACEPTFL='Y' and TRCAT= RECIST 1.1 and TREVAL = 'INDEPENDENT ASSESSOR' ) prior to treatment start (where ADT <= TRTSDT)

AND DOES NOT MEET THE BELOW CRITERIA FOR NO POST-BASELINE

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRBI' and ACEPTFL='Y') 

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,ADT,PARAMCD EQ NPBBI,Analysis Date for No Post-Baseline ATA BIRC,integer,,Derived,"Only create this PARAMCD where COHORT contains 'EXP 3'
A record is created for subjects who have no post-baseline adequate tumor assessment BIRC

DOES NOT MEET THE BELOW CRITERIA FOR NO BASELINE
No Baseline Condition:
Where STAGE=EXPANSION:
If the subject has no tumor records in ADTR(where ACEPTFL='Y' and TRCAT= RECIST 1.1 and TREVAL = 'INDEPENDENT ASSESSOR' ) prior to randomization (where ADT <= RANDDT) 

Where STAGE=ESCALATION:
If the subject has no tumor records in ADTR(where ACEPTFL='Y' and TRCAT= RECIST 1.1 and TREVAL = 'INDEPENDENT ASSESSOR' ) prior to treatment start (where ADT <= TRTSDT)

AND DOES MEET THE BELOW CRITERIA FOR NO POST-BASELINE

No Post-Baseline Condition:
If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRBI' and ACEPTFL='Y') 

ADT is set to min(RANDDT + 127, LSTALVDT).",,,
ADEFFINT,SRCVAR,"PARAMCD IN (NBLPBBI, NBLBI, NPBBI)",SRCVAR for Missing Baseline/Post-Baseline Scans,text,,Assigned,"If ADT is equivalent to RANDDT+127, set to ""RANDDT"".
If ADT is equivalent to LSTALVDT, set to ""LSTALVDT"".",,,
ADEFFINT,SRCDOM,"PARAMCD IN (NBLPBBI, NBLBI, NPBBI)",SRCDOM for Missing Baseline/Post-Baseline Scans,text,,Assigned,"Set to ""ADSL""",,,
ADEFFINT,SRCSEQ,"PARAMCD IN (NBLPBBI, NBLBI, NPBBI)",SRCSEQ for Missing Baseline/Post-Baseline Scans,integer,,Assigned,Null,,,
ADEFFINT,ADT,PARAMCD EQ CRESPIVR,"Date of Confirmed Objective Response, per Inv using RECIST 1.1 ",integer,,Derived,"A record is created for subjects who have a confirmed objective response.
Create a record for subjects with a record in ADEFFSUM where PARAMCD = 'CBORIVR' and CRIT1 = 'Objective Response'.
Set ADT = ADRS.ADT from the earliest confirmed CR or PR (ADRS.PARAMCD = 'OVRLRIVR' where CONFCRFL = 'Y' or CONFPRFL = 'Y'). ",,,
ADEFFINT,SRCVAR,PARAMCD EQ CRESPIVR,SRCVAR for CRESPIVR,text,,Assigned,"Set to ""ADT""",,,
ADEFFINT,SRCDOM,PARAMCD EQ CRESPIVR,SRCDOM for CRESPIVR,text,,Assigned,"Set to ""ADRS""",,,
ADEFFINT,SRCSEQ,PARAMCD EQ CRESPIVR,SRCSEQ for CRESPIVR,integer,,Assigned,ADRS.ASEQ from the record selected for populating ADT,,,
ADEFFINT,ADT,PARAMCD EQ INVPDDT,"Date of Radiographic PD, per Inv using RECIST 1.1 ",integer,,Derived,"A record is created for subjects who have a PD per investigator. Date is the date of the earliest such scan. 
Set to ADRS.ADT where PARAMCD = 'OVRLRIVR' and AVALC = 'PD' and PREPDFL = 'Y'.",,,
ADEFFINT,ADT,PARAMCD EQ IRCPDDT,"Date of Radiographic PD, per BIRC using RECIST 1.1 ",integer,,Derived,"A record is created for subjects who have a PD per investigator. Date is the date of the earliest such scan. 
Set to ADRS.ADT where PARAMCD = 'OVRLRBI' and AVALC = 'PD' and PREPDFL = 'Y' and ACEPTFL='Y'",,,
ADEFFINT,ADT,PARAMCD EQ PCWPDDT,"Date of Radiographic PD, per PCWG3",integer,,Derived,"A record is created for subjects who have a PD per investigator. Date is the date of the earliest such scan. 
Set to ADRS.ADT where PARAMCD = 'OVRLRPC' and AVALC = 'PD' and PREPDFL = 'Y' and ACEPTFL='Y'",,,
ADEFFINT,ADT,PARAMCD EQ PCVPDDT,"Date of Radiographic PD, per PCWG3 per INV",integer,,Derived,"A record is created for subjects who have a PD per investigator. Date is the date of the earliest such scan. 
Set to ADRS.ADT where PARAMCD = 'OVRLRPV' and AVALC = 'PDc' and PREPDFL = 'Y' ",,,
ADEFFINT,SRCVAR,"PARAMCD in (INVPDDT, IRCPDDT, PCWPDDT, PCVPDDT)","SRCVAR for INVPDDT, IRCPDDT, PCWPDDT, PCVPDDT",text,,Assigned,"Set to ""ADT""",,,
ADEFFINT,SRCDOM,"PARAMCD in (INVPDDT, IRCPDDT, PCWPDDT, PCVPDDT)","SRCDOM for INVPDDT, IRCPDDT, PCWPDDT, PCVPDDT",text,,Assigned,"Set to ""ADRS""",,,
ADEFFINT,SRCSEQ,"PARAMCD in (INVPDDT, IRCPDDT, PCWPDDT, PCVPDDT)","SRCSEQ for INVPDDT, IRCPDDT, PCWPDDT, PCVPDDT",integer,,Assigned,ADRS.ASEQ from the record selected for populating ADT,,,
ADEFFINT,ADT,PARAMCD EQ SURGTLDT,Date of Surgical Resection of Target Lesion(s),integer,,Derived,"A record is created if there is a record in ADPR where PRCAT = 'CONCOMITANT/SUBSEQUENT SURGERY AND PROCS' and PRSGRTL = 'Y' and ( (ASTDT > RANDDT and ADPR.STAGE=EXPANSION) or (ASTDT > TRTSDT and ADPR.STAGE= ESCALATION) ).
Set ADEFFINT.ADT = ADPR.ASTDT of the earliest such record.
ADTF is populated with the value of ADPR.ASTDTF.",,,
ADEFFINT,ADT,PARAMCD EQ RADDZDT,Date of Local Radiation to Soft Tissue for Disease Under Study,integer,,Derived,"A record is created if there is a record in ADPR where PRCAT = 'CONCOMITANT AND SUBSEQUENT LOCAL RADIATION THERAPY' and RTSITEPRSITE = 'SOFT TISSUE' and PRINDC = 'DISEASE UNDER STUDY' and ( (ASTDT > RANDDT and ADPR.STAGE=EXPANSION) or (ASTDT > TRTSDT and ADPR.STAGE= ESCALATION) ).
Set ADEFFINT.ADT = ADPR.ASTDT of the earliest such record.
ADTF is populated with the value of ADPR.ASTDTF.",,,
ADEFFINT,ADT,PARAMCD EQ RADDBDT,Date of Local Radiation to Bone for Disease Under Study,integer,,Derived,"A record is created if there is a record in ADPR where PRCAT = 'CONCOMITANT AND SUBSEQUENT LOCAL RADIATION THERAPY' and RTSITE = 'BONE' and PRINDC = 'DISEASE UNDER STUDY' and ( (ASTDT > RANDDT and ADPR.STAGE=EXPANSION) or (ASTDT > TRTSDT and ADPR.STAGE= ESCALATION) ).
Set ADEFFINT.ADT = ADPR.ASTDT of the earliest such record.
ADTF is populated with the value of ADPR.ASTDTF.",,,
ADEFFINT,SRCVAR,"PARAMCD IN (SURGTLDT, RADDZDT, RADDBDT)","SRCVAR for SURGTLDT, RADDZDT, RADDBDT",text,,Assigned,"Set to ""ASTDT""",,,
ADEFFINT,SRCDOM,"PARAMCD IN (SURGTLDT, RADDZDT, RADDBDT)","SRCDOM for SURGTLDT, RADDZDT, RADDBDT",text,,Assigned,"Set to ""ADPR""",,,
ADEFFINT,SRCSEQ,"PARAMCD IN (SURGTLDT, RADDZDT, RADDBDT)","SRCSEQ for SURGTLDT, RADDZDT, RADDBDT",integer,,Assigned,ADPR.ASEQ from the record selected for populating ADT.,,,
ADTTE,STARTDT,"PARAMCD IN (OS, PFSIVR, PFSPC, PFSBI, PFSPV)","Start Date for OS, PFS",integer,,Assigned,"If ADSL.STAGE='EXPANSION' then set to ADSL.RANDDT
else if ADSL.STAGE='ESCALATION' then set to ADSL.TRTSDT",,,
ADTTE,ADT,"PARAMCD IN (OS, OSLSFU)",ADT for OS,integer,,Derived,"Records from ADEFFINT are considered where PARAMCD is among the following:
'DTHDT' (Date of Death), 'LSTFUP' (Lost to Follow-up), 'WDCFDT' (Date of Withdrawal of Full Consent), 'SPNSRDEC' (Date of Withdrawal Per Sponsor Decision), 'CUTDT' where DTHUNFDT > CUTDT (Data Cut-off Date, considered for subjects with unfiltered death date after cut-off), 'LSTALVDT' (Date Last Known Alive)

Records are sorted by ADT and then in the order listed above, in case of multiple records with the same date. The first/earliest such record is selected. 
ADTTE.ADT = ADEFFINT.ADT of the selected record.",,ML 12/23/2024: Please add PFS by BICR and PFS by PCWG3 to ADTTE,
ADTTE,CNSR,PARAMCD EQ OS,CNSR for OS,integer,TTECNSOS,Assigned,"Refer to derivation of ADT. CNSR is assigned according to the record selected for populating ADT.
If ADEFFINT.PARAMCD = 'DTHDT' then CNSR =0.
If ADEFFINT.PARAMCD = 'LSTFUP' then CNSR =1.
If ADEFFINT.PARAMCD = 'WDCFDT' then CNSR =2.
If ADEFFINT.PARAMCD = 'SPNSRDEC' then CNSR=3.
If ADEFFINT.PARAMCD = 'CUTDT' then CNSR=4.
If ADEFFINT.PARAMCD = 'LSTALVDT' then CNSR =5.",,,
